date,ripple,xrp
2018-02-16 02:00:00,64,14
2018-02-16 02:08:00,57,14
2018-02-16 02:16:00,93,0
2018-02-16 02:24:00,58,43
2018-02-16 02:32:00,80,7
2018-02-16 02:40:00,65,22
2018-02-16 02:48:00,36,22
2018-02-16 02:56:00,67,15
2018-02-16 03:04:00,37,22
2018-02-16 03:12:00,30,15
2018-02-16 03:20:00,45,22
2018-02-16 03:28:00,82,45
2018-02-16 03:36:00,53,15
2018-02-16 03:44:00,61,46
2018-02-16 03:52:00,100,0
2018-02-16 04:00:00,54,23
2018-02-16 04:08:00,31,31
2018-02-16 04:16:00,63,39
2018-02-16 04:24:00,79,31
2018-02-16 04:32:00,48,8
2018-02-16 04:40:00,48,40
2018-02-16 04:48:00,49,8
2018-02-16 04:56:00,88,16
2018-02-16 05:04:00,56,24
2018-02-16 05:12:00,32,24
2018-02-16 05:20:00,55,16
2018-02-16 05:28:00,63,47
2018-02-16 05:36:00,47,16
2018-02-16 05:44:00,38,8
2018-02-16 05:52:00,38,15
2018-02-16 06:00:00,97,0
2018-02-16 06:08:00,74,15
2018-02-16 06:16:00,44,7
2018-02-16 06:24:00,73,7
2018-02-16 06:32:00,65,7
2018-02-16 06:40:00,57,14
2018-02-16 06:48:00,63,14
2018-02-16 06:56:00,49,0
2018-02-16 07:04:00,27,7
2018-02-16 07:12:00,47,27
2018-02-16 07:20:00,46,7
2018-02-16 07:28:00,33,13
2018-02-16 07:36:00,77,0
2018-02-16 07:44:00,64,13
2018-02-16 07:52:00,44,0
2018-02-16 08:00:00,86,18
2018-02-16 08:08:00,79,18
2018-02-16 08:16:00,78,18
2018-02-16 08:24:00,66,12
2018-02-16 08:32:00,29,12
2018-02-16 08:40:00,63,12
2018-02-16 08:48:00,45,17
2018-02-16 08:56:00,78,17
2018-02-16 09:04:00,62,6
2018-02-16 09:12:00,44,0
2018-02-16 09:20:00,55,11
2018-02-16 09:28:00,61,22
2018-02-16 09:36:00,71,5
2018-02-16 09:44:00,66,11
2018-02-16 09:52:00,87,5
2018-02-16 10:00:00,44,16
2018-02-16 10:08:00,32,16
2018-02-16 10:16:00,54,0
2018-02-16 10:24:00,53,5
2018-02-16 10:32:00,42,16
2018-02-16 10:40:00,42,21
2018-02-16 10:48:00,73,31
2018-02-16 10:56:00,21,5
2018-02-16 11:04:00,57,15
2018-02-16 11:12:00,51,10
2018-02-16 11:20:00,40,15
2018-02-16 11:28:00,40,5
2018-02-16 11:36:00,45,5
2018-02-16 11:44:00,54,15
